,time,content,search_key
51,2021-07-29T02:19:31.000Z,Some key findings from   report on  #ESG  Ratings & Data Product Providers: Lack of clarity & alignment on definitions or what ratings or data products intend to measure Lack of transparency about the methodologies used by ESG ratings and products  #sustainablefinance Regulators to unlock 'black box' of ESG corporate ratings | Reuters  https://reuters.com/business/sustainable-business/regulators-unlock-black-box-esg-corporate-ratings-2021-07-26/…,"""sustainablefinance""AND""definition"""
52,2021-07-01T09:20:02.000Z,"""What good is? We all have a different definition. We are broadening it, envisioning it as a system ... That's why everybody talks about it, because everybody has a part to take in it"" Sophie Coulon-Renouvel   #fintech   #forgood   #PFF21   #sustainablefinance","""sustainablefinance""AND""definition"""
53,2021-06-23T14:00:02.000Z,"One issue facing  #SustainableFinance  is the different approaches to measuring  #ESG  success. ""With different definitions of ESG performance come different approaches to measuring that performance and conflicting opinions,"" argues  .","""sustainablefinance""AND""definition"""
54,2021-06-22T13:58:57.000Z,"As interest in  #SustainableInvesting  continues to surge, so does the call for clearer definitions of “green” and “non-green” activities. Read what   expert   had to say about the EU’s new  #SustainableFinance  taxonomy in   ","""sustainablefinance""AND""definition"""
55,2021-06-14T11:09:35.000Z,"The definition of a  #bond  might be clear for financial market participants, but what about Green, Social and  #Sustainability  Bonds? Download our publication, which looks into these matters and offers a glance at the  #sustainablefinance  market:    #sfpwcl","""sustainablefinance""AND""definition"""
56,2021-06-06T10:39:13.000Z,ESG: we’re all environmentally conscious now   via    greater harmonization on the definitions of what's  #green  and financial disclosures should to propel  #esg  as the dominant theme and criteria  #climatechange   #sustainablefinance,"""sustainablefinance""AND""definition"""
57,2021-06-10T13:46:59.000Z,"One issue facing  #SustainableFinance  is the lack of efficient measures of  #ESG  success. ""With different definitions of ESG performance come different approaches to measuring that performance and conflicting opinions,"" argues  .","""sustainablefinance""AND""definition"""
58,2021-06-02T13:38:22.000Z,"We have to go beyond incrementalism and greenwashing. We need a sustainable capital shift, a common language and a clear definition of what is ‘sustainable’ says   from   at  #EUGreenWeek . #EUTaxonomy   #SustainableFinance   #SustainableLeadership","""sustainablefinance""AND""definition"""
59,2021-05-27T10:11:25.000Z,"LIVE  #ChangeNow2021    ""We will give Paris financial place a commonly agreed definition of impact, and will work on providing tools to measure it, to make sure that Paris is still leading the way in the  #SustainableFinance  market""    #ActforPositiveChange","""sustainablefinance""AND""definition"""
60,2021-05-24T07:13:11.000Z,#SustainableFinance : What does green  #mean ? Investors grapple with definitions and data. Progress has been slow on reaching a global consensus on what can be called ‘ #sustainable ’. ,"""sustainablefinance""AND""definition"""
61,2021-05-25T20:54:33.000Z,"#Nachhaltigkeit "" ist seit 1992 (!) definiert - #UN   #RioDeclaration  und  #UN   #Agenda21   #SustainableDevelopment   Das  #UNFCCC   #ParisAgreement  von 2015 nimmt auf GENAU diese  #UN -Definition bezug. Nothing else   #SustainableFinance Markus, you need to learn and understand the principles & concept of  #SustainableDevelopment    #RioDeclaration  1992, Principle 1
""Human beings are at the centre of concerns for  #sustainabledevelopment . They are entitled to a healthy and productive life in harmony with nature.""","""sustainablefinance""AND""definition"""
62,2021-05-14T00:31:34.000Z,"For all those  #ESG  policy geeks, here is a helpful summary of the  #EUtaxonomy  and disclosure regulation. Notably, a definition of  #climatetransition  activities is still to come, with timeframes and detailed outcomes.  #sustainablefinance   #greenfinance","""sustainablefinance""AND""definition"""
63,2021-05-20T15:10:34.000Z,", who's buying that? Let's talk about fossil fuels, and not your definition of  #sustainablefinance  or  #ESG .","""sustainablefinance""AND""definition"""
64,2021-05-12T09:41:17.000Z,"According to a recent   Investor Survey, 65% of investors feel that the progress towards wider adoption of sustainable financing is hampered by the lack of robust templates, consistent definitions and reliable data.

Do you agree?  #sustainablefinance   #investing","""sustainablefinance""AND""definition"""
65,2021-04-22T00:00:08.000Z,"Significant EU & China definitions of  #sustainablefinance  released overnight. EU maintains the TEG recommendation in electricity generation of 100gms CO2/KWh. 
Pressure from some  to weaken the criteria to include gas-fired power has so far been resisted","""sustainablefinance""AND""definition"""
66,2021-05-12T09:41:17.000Z,"Genieße die entspannende Atmosphäre im actionreichen Rätsel-Kletterspiel Jusant. 
Erklimme einen unvorstellbar hohen Turm und steige begleitet von einem Wasserwesen zu neuen Höhen auf.","""sustainablefinance""AND""definition"""
67,2021-04-21T22:31:58.000Z,"This is great because there's a massive collective effort needed on the data, definitions and methods to achieve this. More progress made today with the  #SustainableFinanceEU  taxonomy but there's hard work ahead  #ESG   #metrics   #netzero   #GFANZ   #sustainablefinance - coordinate the critical analytical tools & mrkt infrastructure that financial institutions need to implement net zero strategies.
- support technical collaboration to align investment & lending w/ net zero. 
- advocate for credible & predictable policy frameworks.  #GFANZ  3/3","""sustainablefinance""AND""definition"""
68,2021-04-08T15:50:00.000Z,"if each of us have a different definition of  #netzero , that doesn't give any useful information (to investors), says Audrey Choi  #ESGSUMMIT   #netzerofinance   #climatecrisis   #climatefinance   #sustainablefinance #SriAgenda  just started    #Apr8  

Audrey Choi, Chief Marketing Officer and Chief Sustainability Officer  @MorganStanley  in conversation w/  @gilliantett  co-founder  @ftmoralmoney   #ESGSUMMIT  "" @CFASocietyDC  |  #FinalDay  of 3 @WillGoodhart   @GThoumiCFA   @CFAinstitute   @SASB   @andytuit","""sustainablefinance""AND""definition"""
69,2021-03-08T14:24:01.000Z,"Nordea Says Polluters Can’t Be Axed From  #ESG  Investment Banking.

“It’s just such a new area that we’re venturing into that setting very high, strict definitions on the requirements is basically infeasible,” Jacob Michaelsen      #sustainablefinance","""sustainablefinance""AND""definition"""
70,2021-03-07T10:21:49.000Z,"What is sustainable business development...really? 

there is a hype about ‘sustainable business development’ including by corporates. But what is it really?   #definition   #sustainability   #sdg   #circulareconomy   #impactstartup   #impact   #sustainablefinance","""sustainablefinance""AND""definition"""
71,2021-03-02T17:04:55.000Z,"If you're lucky enough to have a pension, send this link on to your pension committee. Definitions of responsibility are shifting to include the  #climate ; we need to get action on this in Canada  #sustainablefinance   #ClimateAction  
 ","""sustainablefinance""AND""definition"""
72,2021-02-26T09:55:42.000Z,"What are the consequences of getting  #ESG  definitions wrong?

Redsand Ventures'   ltst  #OurVoice   #blog  explores  #sustainablefinance  terminology + why getting this right will help us on our way to a greener future.

Link here >","""sustainablefinance""AND""definition"""
73,2021-02-22T14:25:36.000Z,"This is the definition of  #SustainableFinance  from the UN Environment Programme publication ""Greening the Rules of the Game""  #GreenFinance   #SustainableFinance  ""...the financing of investments that
provide environmental benefits in the broader context of environmentally sustainable development
(green finance) as well as finance for education, social development, health and other aspects of
sustainable development...""","""sustainablefinance""AND""definition"""
74,2021-02-11T07:11:13.000Z,"It will be interesting to see what lies ahead for  #ESG  integration &  #sustainablefinance  in the US. I agree that updating the SEC's definition of fiduciary duty & better frameworks for the disclosure of ESG risks, particularly  #climaterisk  are priorities.","""sustainablefinance""AND""definition"""
