,time,content_original,search_key,hash_tags,datetime,date,content_all,content_noun
30,2022-03-09T14:52:09.000Z,Did you check out this week’s  #SMAFINGLOSSARY  definition?  Why is  #SustainableFinance  important? How familiar are you with the Sustainable Finance? Find out at this week’s  #SMAFINGLOSSARY  definition! https://bit.ly/3KqiwMz  #H2020EE   #smafin    #smafinglossarydefinitions  @inzebORG   @RegeaAgency   @CresGreece   @CentrulEnero   @NzebPro,"""sustainablefinance""AND""definition""",SMAFINGLOSSARY,2022-03-09 14:52:09+00:00,2022-03-09,"['check', 'week', '’', 'smafinglossary', 'definition', 'sustainablefinance', 'important', 'familiar', 'sustainable', 'finance', 'find', 'week', '’', 'smafinglossary', 'definition', 'http', '//bit.ly/3kqiwmz', 'h2020ee', 'smafin', 'smafinglossarydefinitions', 'inzeborg', 'regeaagency', 'cresgreece', 'centrulenero', 'nzebpro']","['week', '’', 'definition', 'sustainablefinance', 'finance', 'week', '’', 'definition', 'http', 'smafinglossarydefinitions', 'regeaagency', 'cresgreece', 'centrulenero', 'nzebpro']"
31,2022-03-30T09:30:00.000Z,"On June 15th, Creative Mode comes to Teardown!

Effortlessly build new objects of all shapes and sizes with various materials, including wood, brick, metal, and more. From there, you can easily save, spawn, move, and duplicate the fruits of your labor! #PCgamingshow","""sustainablefinance""AND""definition""",,2022-03-30 09:30:00+00:00,2022-03-30,"['june', '15th', 'creative', 'mode', 'come', 'teardown', 'effortlessly', 'build', 'new', 'object', 'shape', 'size', 'various', 'material', 'include', 'wood', 'brick', 'metal', 'easily', 'save', 'spawn', 'move', 'duplicate', 'fruit', 'labor', 'pcgamingshow']","['june', 'mode', 'object', 'shape', 'size', 'material', 'wood', 'brick', 'metal', 'spawn', 'move', 'fruit', 'labor', 'pcgamingshow']"
32,2022-02-25T21:47:12.000Z,#ESGInvesting  Needs to Expand Its Definition of Materiality (SSIR)   via     #ESGYS   #ESG    #sustainablefinance   #PRI   #CSR   #sustainability   #DEI,"""sustainablefinance""AND""definition""",ESGInvesting,2022-02-25 21:47:12+00:00,2022-02-25,"['esginvesting', 'need', 'expand', 'definition', 'materiality', 'ssir', 'via', 'esgys', 'esg', 'sustainablefinance', 'pri', 'csr', 'sustainability', 'dei']","['need', 'definition', 'materiality', 'ssir', 'sustainablefinance', 'sustainability', 'dei']"
33,2022-02-26T00:55:28.000Z,ESG Investing Needs to Expand Its Definition of Materiality.    #ESG   #Accounting   #ethicalinvesting   #sustainablefinance   #investing   #investments   #stocks   #portfolio,"""sustainablefinance""AND""definition""",ESG,2022-02-26 00:55:28+00:00,2022-02-26,"['esg', 'invest', 'need', 'expand', 'definition', 'materiality', 'esg', 'accounting', 'ethicalinvesting', 'sustainablefinance', 'invest', 'investment', 'stock', 'portfolio']","['need', 'definition', 'materiality', 'accounting', 'sustainablefinance', 'investment', 'stock', 'portfolio']"
34,2022-02-18T08:22:04.000Z,"#sustainablefinance  is in fashion, as a tool for slowing down the impact of  #climatechange But it is more a catchword than a definition of a precise financial product or technique
A nice article presenting how to leverage enthusias…","""sustainablefinance""AND""definition""",sustainablefinance,2022-02-18 08:22:04+00:00,2022-02-18,"['sustainablefinance', 'fashion', 'tool', 'slow', 'impact', 'climatechange', 'catchword', 'definition', 'precise', 'financial', 'product', 'technique', 'nice', 'article', 'present', 'leverage', 'enthusias…']","['sustainablefinance', 'fashion', 'tool', 'impact', 'climatechange', 'catchword', 'definition', 'product', 'technique', 'article', 'enthusias…']"
35,2022-01-24T14:00:47.000Z,"Talking about  #Fintech  is one thing, but won't go far without understanding. Here's a simple definition guide to financial technology by  .  #FinancialTechnology   #SustainableFinance   #Education","""sustainablefinance""AND""definition""",Fintech,2022-01-24 14:00:47+00:00,2022-01-24,"['talk', 'fintech', 'one', 'thing', 'wo', ""n't"", 'go', 'far', 'without', 'understand', ""'s"", 'simple', 'definition', 'guide', 'financial', 'technology', 'financialtechnology', 'sustainablefinance', 'education']","['fintech', 'thing', 'definition', 'guide', 'technology', 'sustainablefinance', 'education']"
36,2021-12-17T17:21:31.000Z,"Ambitious UK  #sustainablefinance  reform must be underpinned with a science-based definition of green if it is going to stop  #greenwash . 

17 NGOs call on the Chancellor   to create a credible UK  #Greentaxonomy  in a joint letter here:    ","""sustainablefinance""AND""definition""",sustainablefinance,2021-12-17 17:21:31+00:00,2021-12-17,"['ambitious', 'uk', 'sustainablefinance', 'reform', 'must', 'underpin', 'science-based', 'definition', 'green', 'go', 'stop', 'greenwash', '17', 'ngos', 'call', 'chancellor', 'create', 'credible', 'uk', 'greentaxonomy', 'joint', 'letter']","['sustainablefinance', 'reform', 'definition', 'greenwash', 'call', 'chancellor', 'greentaxonomy', 'letter']"
37,2021-11-05T07:03:39.000Z,"RT EUClimateAction: RT  :  Happy second anniversary to the International Platform on  #SustainableFinance !
Further step fwd at  #COP26  for robust  #GreenFinance  definitions around the world with EU-China led Common Ground Taxonomy Report - welcomed w…","""sustainablefinance""AND""definition""",SustainableFinance,2021-11-05 07:03:39+00:00,2021-11-05,"['rt', 'euclimateaction', 'rt', 'happy', 'second', 'anniversary', 'international', 'platform', 'sustainablefinance', 'step', 'fwd', 'cop26', 'robust', 'greenfinance', 'definition', 'around', 'world', 'eu-china', 'led', 'common', 'ground', 'taxonomy', 'report', 'welcome', 'w…']","['euclimateaction', 'rt', 'anniversary', 'platform', 'sustainablefinance', 'step', 'cop26', 'greenfinance', 'definition', 'world', 'ground', 'report', 'w…']"
38,2021-12-07T16:30:03.000Z,Will a lack of guidance and poor regulatory definitions lead to a greenwashing epidemic?  #Greenwashing   #SustainableFinance,"""sustainablefinance""AND""definition""",Greenwashing,2021-12-07 16:30:03+00:00,2021-12-07,"['lack', 'guidance', 'poor', 'regulatory', 'definition', 'lead', 'greenwashing', 'epidemic', 'greenwashing', 'sustainablefinance']","['lack', 'guidance', 'definition', 'sustainablefinance']"
39,2021-12-08T08:05:29.000Z,Today is the voting deadline for EU member countries to reject the Commission’s proposed definitions for what counts as a green investment under the  #SustainableFinance   #Taxonomy . Reinforced qualified majority to reject the first Delegated Act on climate criteria seems unlikely.,"""sustainablefinance""AND""definition""",SustainableFinance,2021-12-08 08:05:29+00:00,2021-12-08,"['today', 'vote', 'deadline', 'eu', 'member', 'country', 'reject', 'commission', '’', 'propose', 'definition', 'count', 'green', 'investment', 'sustainablefinance', 'taxonomy', 'reinforce', 'qualified', 'majority', 'reject', 'first', 'delegate', 'act', 'climate', 'criterion', 'seem', 'unlikely']","['today', 'deadline', 'member', 'country', 'commission', '’', 'definition', 'investment', 'sustainablefinance', 'taxonomy', 'majority', 'act', 'climate', 'criterion']"
